Report date,Previous report date,Period label,Zone key,Case classification,Net case change,Is negative revision,Is opening balance,Interval days
2018-08-05,,unknown - 5 August 2018,South Kivu | Mwenga,Confirmed,0,0,1,
2018-08-12,2018-08-05,5 Aug 2018 - 12 Aug 2018,South Kivu | Mwenga,Confirmed,0,0,0,7
2018-08-20,2018-08-12,12 Aug 2018 - 20 Aug 2018,South Kivu | Mwenga,Confirmed,0,0,0,8
2018-08-26,2018-08-20,20 Aug 2018 - 26 Aug 2018,South Kivu | Mwenga,Confirmed,0,0,0,6
2018-09-02,2018-08-26,26 Aug 2018 - 2 Sep 2018,South Kivu | Mwenga,Confirmed,0,0,0,7
2018-09-09,2018-09-02,2 Sep 2018 - 9 Sep 2018,South Kivu | Mwenga,Confirmed,0,0,0,7
2018-09-16,2018-09-09,9 Sep 2018 - 16 Sep 2018,South Kivu | Mwenga,Confirmed,0,0,0,7
2018-09-23,2018-09-16,16 Sep 2018 - 23 Sep 2018,South Kivu | Mwenga,Confirmed,0,0,0,7
2018-10-02,2018-09-23,23 Sep 2018 - 2 Oct 2018,South Kivu | Mwenga,Confirmed,0,0,0,9
2018-10-07,2018-10-02,2 Oct 2018 - 7 Oct 2018,South Kivu | Mwenga,Confirmed,0,0,0,5
2018-10-15,2018-10-07,7 Oct 2018 - 15 Oct 2018,South Kivu | Mwenga,Confirmed,0,0,0,8
2018-10-21,2018-10-15,15 Oct 2018 - 21 Oct 2018,South Kivu | Mwenga,Confirmed,0,0,0,6
2018-10-28,2018-10-21,21 Oct 2018 - 28 Oct 2018,South Kivu | Mwenga,Confirmed,0,0,0,7
2018-11-04,2018-10-28,28 Oct 2018 - 4 Nov 2018,South Kivu | Mwenga,Confirmed,0,0,0,7
2018-11-11,2018-11-04,4 Nov 2018 - 11 Nov 2018,South Kivu | Mwenga,Confirmed,0,0,0,7
2018-11-19,2018-11-11,11 Nov 2018 - 19 Nov 2018,South Kivu | Mwenga,Confirmed,0,0,0,8
2018-11-26,2018-11-19,19 Nov 2018 - 26 Nov 2018,South Kivu | Mwenga,Confirmed,0,0,0,7
2018-12-03,2018-11-26,26 Nov 2018 - 3 Dec 2018,South Kivu | Mwenga,Confirmed,0,0,0,7
2018-12-10,2018-12-03,3 Dec 2018 - 10 Dec 2018,South Kivu | Mwenga,Confirmed,0,0,0,7
2018-12-16,2018-12-10,10 Dec 2018 - 16 Dec 2018,South Kivu | Mwenga,Confirmed,0,0,0,6
2018-12-25,2018-12-16,16 Dec 2018 - 25 Dec 2018,South Kivu | Mwenga,Confirmed,0,0,0,9
2019-01-01,2018-12-25,25 Dec 2018 - 1 Jan 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-01-06,2019-01-01,1 Jan 2019 - 6 Jan 2019,South Kivu | Mwenga,Confirmed,0,0,0,5
2019-01-14,2019-01-06,6 Jan 2019 - 14 Jan 2019,South Kivu | Mwenga,Confirmed,0,0,0,8
2019-01-21,2019-01-14,14 Jan 2019 - 21 Jan 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-01-28,2019-01-21,21 Jan 2019 - 28 Jan 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-02-03,2019-01-28,28 Jan 2019 - 3 Feb 2019,South Kivu | Mwenga,Confirmed,0,0,0,6
2019-02-10,2019-02-03,3 Feb 2019 - 10 Feb 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-02-17,2019-02-10,10 Feb 2019 - 17 Feb 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-02-24,2019-02-17,17 Feb 2019 - 24 Feb 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-03-03,2019-02-24,24 Feb 2019 - 3 Mar 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-03-10,2019-03-03,3 Mar 2019 - 10 Mar 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-03-17,2019-03-10,10 Mar 2019 - 17 Mar 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-03-24,2019-03-17,17 Mar 2019 - 24 Mar 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-03-31,2019-03-24,24 Mar 2019 - 31 Mar 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-04-07,2019-03-31,31 Mar 2019 - 7 Apr 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-04-14,2019-04-07,7 Apr 2019 - 14 Apr 2019,South Kivu | Mwenga,Confirmed,0,0,0,7
2019-04-22,2019-04-14,14 Apr 2019 - 22 Apr 2019,South Kivu | Mwenga,Confirmed,0,0,0,8
