Zone key,Province,Health zone,Country
South Kivu | Mwenga,South Kivu,Mwenga,Democratic Republic of the Congo
North Kivu | Alimbongo,North Kivu,Alimbongo,Democratic Republic of the Congo
North Kivu | Beni,North Kivu,Beni,Democratic Republic of the Congo
North Kivu | Biena,North Kivu,Biena,Democratic Republic of the Congo
North Kivu | Butembo,North Kivu,Butembo,Democratic Republic of the Congo
North Kivu | Goma,North Kivu,Goma,Democratic Republic of the Congo
North Kivu | Kalunguta,North Kivu,Kalunguta,Democratic Republic of the Congo
North Kivu | Katwa,North Kivu,Katwa,Democratic Republic of the Congo
North Kivu | Kayna,North Kivu,Kayna,Democratic Republic of the Congo
North Kivu | Kyondo,North Kivu,Kyondo,Democratic Republic of the Congo
North Kivu | Lubero,North Kivu,Lubero,Democratic Republic of the Congo
North Kivu | Mabalako,North Kivu,Mabalako,Democratic Republic of the Congo
North Kivu | Manguredjipa,North Kivu,Manguredjipa,Democratic Republic of the Congo
North Kivu | Masereka,North Kivu,Masereka,Democratic Republic of the Congo
North Kivu | Musienene,North Kivu,Musienene,Democratic Republic of the Congo
North Kivu | Mutwanga,North Kivu,Mutwanga,Democratic Republic of the Congo
North Kivu | Nyiragongo,North Kivu,Nyiragongo,Democratic Republic of the Congo
North Kivu | Oicha,North Kivu,Oicha,Democratic Republic of the Congo
North Kivu | Pinga,North Kivu,Pinga,Democratic Republic of the Congo
North Kivu | Vuhovi,North Kivu,Vuhovi,Democratic Republic of the Congo
Ituri | Ariwara,Ituri,Ariwara,Democratic Republic of the Congo
Ituri | Bunia,Ituri,Bunia,Democratic Republic of the Congo
Ituri | Komanda,Ituri,Komanda,Democratic Republic of the Congo
Ituri | Lolwa,Ituri,Lolwa,Democratic Republic of the Congo
Ituri | Mambasa,Ituri,Mambasa,Democratic Republic of the Congo
Ituri | Mandima,Ituri,Mandima,Democratic Republic of the Congo
Ituri | Nyankunde,Ituri,Nyankunde,Democratic Republic of the Congo
Ituri | Rwampara,Ituri,Rwampara,Democratic Republic of the Congo
Ituri | Tchomia,Ituri,Tchomia,Democratic Republic of the Congo
