Dataset,Date,Issue,Detail
National,2019-05-24,Confirmed plus probable differs from total,1809 + 88 versus 1903
National,2020-06-10,Reporting gap exceeds seven days,95 days since 2020-03-07. No daily allocation or interpolation applied.
Health zones,2019-01-14,Negative source revision,"North Kivu, Beni, Confirmed: -2. Retained in net totals."
Health zones,2018-11-11,Negative source revision,"North Kivu, Butembo, Confirmed: -8. Retained in net totals."
Health zones,2018-11-19,Negative source revision,"North Kivu, Butembo, Confirmed: -11. Retained in net totals."
Health zones,2019-09-15,Negative source revision,"North Kivu, Butembo, Confirmed: -1. Retained in net totals."
Health zones,2018-11-19,Negative source revision,"North Kivu, Butembo, Probable: -3. Retained in net totals."
Health zones,2019-01-21,Negative source revision,"North Kivu, Butembo, Probable: -1. Retained in net totals."
Health zones,2019-06-02,Negative source revision,"North Kivu, Butembo, Probable: -3. Retained in net totals."
Health zones,2019-08-25,Negative source revision,"North Kivu, Butembo, Probable: -1. Retained in net totals."
Health zones,2018-12-10,Negative source revision,"North Kivu, Kalunguta, Confirmed: -4. Retained in net totals."
Health zones,2019-08-18,Negative source revision,"North Kivu, Kalunguta, Probable: -1. Retained in net totals."
Health zones,2019-09-15,Negative source revision,"North Kivu, Katwa, Confirmed: -1. Retained in net totals."
Health zones,2019-04-14,Negative source revision,"North Kivu, Kayna, Confirmed: -1. Retained in net totals."
Health zones,2019-08-04,Negative source revision,"North Kivu, Kayna, Confirmed: -1. Retained in net totals."
Health zones,2019-03-24,Negative source revision,"North Kivu, Kyondo, Confirmed: -2. Retained in net totals."
Health zones,2019-08-04,Negative source revision,"North Kivu, Kyondo, Confirmed: -2. Retained in net totals."
Health zones,2018-11-11,Negative source revision,"North Kivu, Mabalako, Confirmed: -6. Retained in net totals."
Health zones,2019-01-28,Negative source revision,"North Kivu, Mabalako, Confirmed: -2. Retained in net totals."
Health zones,2019-03-24,Negative source revision,"North Kivu, Mabalako, Confirmed: -1. Retained in net totals."
Health zones,2018-11-11,Negative source revision,"North Kivu, Mabalako, Probable: -7. Retained in net totals."
Health zones,2019-08-04,Negative source revision,"North Kivu, Manguredjipa, Confirmed: -2. Retained in net totals."
Health zones,2019-04-14,Negative source revision,"North Kivu, Musienene, Confirmed: -1. Retained in net totals."
Health zones,2019-07-28,Negative source revision,"North Kivu, Oicha, Confirmed: -1. Retained in net totals."
Health zones,2018-11-11,Negative source revision,"North Kivu, Oicha, Probable: -1. Retained in net totals."
Health zones,2019-01-28,Negative source revision,"North Kivu, Vuhovi, Confirmed: -2. Retained in net totals."
Health zones,2019-04-22,Negative source revision,"North Kivu, Vuhovi, Probable: -1. Retained in net totals."
Health zones,2019-05-19,Negative source revision,"North Kivu, Vuhovi, Probable: -1. Retained in net totals."
Health zones,2019-08-18,Negative source revision,"Ituri, Ariwara, Confirmed: -1. Retained in net totals."
Health zones,2019-02-24,Negative source revision,"Ituri, Bunia, Confirmed: -1. Retained in net totals."
Health zones,2019-01-06,Negative source revision,"Ituri, Komanda, Confirmed: -7. Retained in net totals."
Health zones,2019-03-03,Negative source revision,"Ituri, Komanda, Confirmed: -1. Retained in net totals."
Health zones,2019-07-14,Negative source revision,"Ituri, Komanda, Confirmed: -30. Retained in net totals."
Health zones,2019-07-14,Negative source revision,"Ituri, Komanda, Probable: -9. Retained in net totals."
Health zones,2019-07-21,Negative source revision,"Ituri, Mambasa, Confirmed: -28. Retained in net totals."
Health zones,2019-07-21,Negative source revision,"Ituri, Mambasa, Probable: -9. Retained in net totals."
Health zones,2019-05-12,Negative source revision,"Ituri, Mandima, Probable: -1. Retained in net totals."
Health zones,2019-04-07,Negative source revision,"Ituri, Rwampara, Confirmed: -1. Retained in net totals."
Health zones,2019-03-31,Negative source revision,"Ituri, Tchomia, Confirmed: -1. Retained in net totals."
